context,response
"So you're not just out for yourself? For example, you would nEver interrupt a sick Woman's treatment just because of some personal obsession?",Of course I'm self-interested. We all are. We're born that way. The rest of us are born with consciences.
Which is something you just sound ecstatic about.,I'm not saying it's logical. I'm just saying it's huMan.
I'd give her a day. Two days at the most.,"Great. You be the clock. Everyone else will be the doctors. Heart, kidneys, now liver."
Primary hepatic fibrosis?,That's our best guess. Start her on steroids.
No one's gonna risk their life to save hers.,"Man, one false accusation from a psychopath, and you turned out to be a real bummer. I'm gonna go see if Wilson has any liver left."
What are you doing?,Paying Wibberly's mortgage for a few months. Congratulations on another successful round of hectoring.
"Wait a minute, is that actually a check for him?",No. It's a giant novelty item for winning the lottery. You're just standing really far away.
"Of all the people to go the extra mile for, why this guy?",I don't know. He just kinda smells good and makes me laugh.
Why not Cuddy? You nEver apologized after you defaced her photo.,Maybe because I recognize that sending someone to the poorHouse is a little more serious than editing a snapshot.
"No, it's because Cuddy actually means something to you, which makes it much harder to apologize.","Oy. If it will make you shut up, I will tell her I'm sorry about the photo."
"Forget the photo. House, she was in love with you. And all she got in return was abuse. For years you toyed with her emotions.",She wasn't in love with me.
The fact that you still can't admit it just proves my point.,What do you want? Helping the guy was your idea.
"No, help the guy, whatEver... I'm just pointing out that it's much easier to soothe your guilt by throwing money at a stranger than by making amends to a person you actually care about.","You had me at ""much easier."" I'm gonna pretend to go to work now. Bing!"
"We were wrong. Psychopathy is a symptom. I spoke to her sister. She wasn't always like this. She changed, and right around adolescence.","So liver, heart, brain, can lie dorMant, and, it starts at puberty. The raw food diet made it go fulminant... Nuts are high in copper. It's Wilson's Disease."
We ruled that out. No keyser-fleischer rings.,There is one other sign. I know there are lipstick lesbians. Are there nail polish remover bisexuals?
She's not supposed to be here.,As a doctor. You didn't say anything about her capacity as a beautician's assistant.
Her fingernail's blue?,Yep. start her on chelation.
You're really doing this for me?,Tax shelter. I'll take some of that Parkli now.
I can't accept this.,"Fine. Forget the Parkli. Bye, Wibberly."
"I got an ""A+""ï¿½ with your paper. I was an orthopedic surgeon for ten years at New York Mercy. I had a gambling pRoblem. I tried to cover it by over-billing some medicare Patients. Lost my license. That's why I'm here. Not because of you.",Why are you telling me this now?
"Because I thought you'd be the same bastard you were in med school, but, uh...",Keep it.
"No, I can get another place.",Just take it. I screwed you over.
"You got me an ""A+.""ï¿½",Take it.
No!,Do I have to shove it down your throat? Take the damn check!
What are you doing?,Canoeing. But I seem to be taking on water.
This is not okay. Use your own bathroom.,"No canoe in my bathroom. My leg hurts. Soaking it makes it feel better. You were the one who had to have this condo. Maybe next time you should consider amenities, like two full baths, instead of just the joy of outbidding Cuddy."
The guy who signs the loan gets to pick the bedrooms. Stay out of mine.,"Well then, you owe me 35 bucks for the grab rail I installed."
"Well then, you owe me 35 bucks for the grab rail I installed.",Hit the kill screen. Boss is here.
It's not porn. It's our new Patient.,Bummer.
"22-year-old male ""ï¿½ 6'7"", 310 pounds. Clearly has brain involvement. The guy has no recollection of this entire incident.","Football player. Those are the ones that get hit in the head a lot, right?"
And he had a full psych evaluation. He's not crazy.,So it's roid rage. You don't think they grow them that big naturally.
ER also tested for steroids. He's clean.,Only proving that our guy got his hands on the good stuff.
The negative test at least means steroids is less likely. We should discuss other possibilities.,Why? He injects his sore ankles with lidocaine Every game. You think he's above injecting steroids?
Could cause the excess hormones that could cause the rage and would elude the ER Steroid test.,"Fine. Bilateral venous sampling to find the elevated GnRH. MRI to find the pituitary damage. Unless, of course, there is no pituitary damage, in which case, our guy got his hands on the good stuff."
"Fine. Bilateral venous sampling to find the elevated GnRH. MRI to find the pituitary damage. Unless, of course, there is no pituitary damage, in which case, our guy got his hands on the good stuff.","Foreman. Let the peasants handle the peasantry. Your brother needs to get picked up this afternoon... from prison. Your older brother, in case your confusion is related ""ï¿½"
How do you know about that?,He left a message. Said he couldn't get you on your cell or at home. I get it. You're busy. You'll pick him up the next time he comes out of prison.
Is that all?,You're officially unbusy. Family is family. Take the rest of the day. Go see your brother.
"Thank you, doctor.",There's nothing wrong with your eyes.
"Well, then your gizmo's broken. I'm seeing spots.","Or you enlisted, you got the cool haircut and the awesome pants, then you realized that your plane ticket to the Middle East was coach, and you decided to rethink your promise."
"No. I've already been there ""ï¿½ three deployments. Now they want me to go again. But my wife's pregnant.",So our homeland should be unsafe because your private was unsafe.
"Look, my wife and I planned this perfect. My enlistment was supposed to be over last week, so we got pregnant six months ago. Now they tell me I'm getting stop-lossed ""ï¿½ Army speak for they don't care about the fact that I've already finished my contract.",I don't care about the fact that they don't care.
"Hey, come on. I waited an extra hour just to make sure I got you.",Why?
I saw you limping out there. Vietnam?,Viet?!? How old do you think I am?
"I don't know, Vietnam age?","Well, back in my day, the real dodgers had the stones to run up to Canada or shoot themselves in the foot. They didn't come to free clinics whining for doctors' notes. Go hug your wife. Tell her to get a babysitter. You'll be back in time to video the kid's first steps."
"Well, back in my day, the real dodgers had the stones to run up to Canada or shoot themselves in the foot. They didn't come to free clinics whining for doctors' notes. Go hug your wife. Tell her to get a babysitter. You'll be back in time to video the kid's first steps.","I don't need to see the scan. I can tell from your little puppy-dog eyes that his pituitary's fine. Are you gonna say it, or should I?"
You were right about the steroids. You're a genius.,Next time with feeling. Put the cheater on a somatostatin analog to clear it out of his system. Send him back to his football game.
